Bo_Age,Ln_Orig,Orig_LTV_Ratio_Pct,Credit_score,First_home,Tot_mthly_debt_exp,Tot_mthly_incm,orig_apprd_val_amt,pur_prc_amt,DTI_Ratio,Status,OUTCOME,State,Median_state_inc,UPB_Appraisal,F_OUTCOME,I_OUTCOME,P_0,P_1
3,5,8,8,0,7,4,7,4,8,Active,0,FL,1,0,0,0,0.9913539342,0.0086460658
7,6,8,8,0,0,2,2,3,0,Active,0,FL,1,1,0,0,0.9781082214,0.0218917786
3,2,8,5,0,3,4,3,2,2,Active,0,TN,0,0,0,0,0.9739501153,0.0260498847
1,3,6,3,0,1,1,7,2,3,Active,0,OH,5,0,0,0,0.9509221477,0.0490778523
7,2,8,9,0,1,7,3,1,0,Active,0,NV,7,0,0,0,0.9841431591,0.0158568409
1,1,8,8,0,3,8,3,1,0,Active,0,NC,0,0,0,0,0.985275663,0.014724337
9,4,8,3,0,2,7,4,4,1,Active,0,SC,1,0,0,0,0.9568374871,0.0431625129
8,2,8,9,0,2,6,6,2,1,Active,0,NJ,9,0,0,0,0.9861128553,0.0138871447
2,2,8,6,0,5,8,5,2,1,Active,0,CA,7,0,0,0,0.983449416,0.016550584
8,6,5,3,0,2,6,3,3,0,Active,0,MA,8,1,0,0,0.9568374871,0.0431625129
1,0,8,7,0,1,7,3,0,0,Active,0,MI,6,0,0,0,0.9767998197,0.0232001803
2,6,8,5,0,1,4,4,4,1,Active,0,TN,0,1,0,0,0.9661726537,0.0338273463
0,2,8,6,0,5,6,8,2,3,Active,0,NJ,9,0,0,0,0.983449416,0.016550584
1,1,8,7,0,2,7,6,1,0,Active,0,OR,3,0,0,0,0.9796628368,0.0203371632
7,6,8,5,0,0,6,3,4,0,Active,0,PA,5,1,0,0,0.9614851836,0.0385148164
1,3,5,7,0,0,5,2,2,0,Active,0,NC,0,0,0,0,0.9735446381,0.0264553619
3,3,8,3,0,5,4,0,0,6,Active,0,CA,7,1,0,0,0.9707608562,0.0292391438
1,8,8,3,0,0,0,0,0,0,Active,0,IA,3,1,0,0,0.9442433624,0.0557566376
6,0,4,6,0,7,8,9,0,3,Active,0,NY,5,0,0,0,0.9873068518,0.0126931482
3,8,8,1,0,1,1,5,6,2,Active,0,CA,7,1,0,0,0.9292993178,0.0707006822
3,8,8,3,0,2,3,4,5,2,Active,0,AZ,3,1,0,0,0.9568374871,0.0431625129
5,6,8,9,0,2,7,5,5,0,Active,0,MD,9,1,0,0,0.9861128553,0.0138871447
0,0,2,4,0,2,8,6,0,0,Active,0,UT,8,0,0,0,0.9641770275,0.0358229725
0,0,8,3,0,5,9,6,0,0,Active,0,TX,2,0,0,0,0.9707608562,0.0292391438
