Bo_Age,Ln_Orig,Orig_LTV_Ratio_Pct,Credit_score,First_home,Tot_mthly_debt_exp,Tot_mthly_incm,orig_apprd_val_amt,pur_prc_amt,DTI Ratio,Status,OUTCOME,State,Median_state_inc,UPB>Appraisal
32,148000,100,759,0,0,4246,204872,148000,0,Active,0,FL,"40,171",0
40,168701,100,765,0,595,3200,118933,118933,0.185938,Active,0,FL,"40,171",1
34,111000,100,691,0,1299,4150,130000,111000,0.313012,Active,0,TN,"38,550",0
26,115500,98,665,0,969,2957,210000,115500,0.327697,Active,0,OH,"44,160",0
42,96000,100,788,0,1072,6270,136000,96000,0.170973,Active,0,NV,"46,984",0
26,86000,100,757,0,0,6940,127855,86000,0,Active,0,NC,"39,000",0
53,136000,100,661,0,1252,5644,152000,136000,0.221828,Active,0,SC,"39,326",0
44,101900,100,788,0,1161,5200,190000,101900,0.223269,Active,0,NJ,"56,772",0
30,106500,100,708,0,0,6675,170000,106500,0,Active,0,CA,"49,894",0
49,161050,97,661,0,1114,5200,128000,128000,0.214231,Active,0,MA,"52,354",1
27,65000,100,743,0,1063,6307,127677,65000,0.168543,Active,0,MI,"44,476",0
30,163800,100,693,0,1066,4500,140000,140000,0.236889,Active,0,TN,"38,550",1
25,108500,100,712,0,1708,5133,250000,108500,0.332749,Active,0,NJ,"56,772",0
28,81900,100,727,0,1263,6200,181000,81900,0.20371,Active,0,OR,"42,617",0
41,165500,100,702,0,796,5300,135000,135000,0.150189,Active,0,PA,"44,286",1
28,113975,97,735,0,741,4938,116600,113975,0.150061,Active,0,NC,"39,000",0
34,116000,100,672,0,0,4190,71555,71555,0,Active,0,CA,"49,894",1
26,218900,100,671,0,205,2080,58000,58000,0.098558,Active,0,IA,"43,042",1
38,70300,95,726,0,2291,6850,315000,70300,0.334453,Active,0,NY,"44,228",0
33,245000,100,615,0,884,2951,170000,170000,0.299559,Active,0,CA,"49,894",1
34,248000,100,662,0,1141,4000,150000,150000,0.28525,Active,0,AZ,"42,590",1
37,174000,100,795,0,1235,6093,164500,164500,0.202692,Active,0,MD,"56,763",1
25,70000,90,683,0,0,6590,189560,70000,0,Active,0,UT,"50,614",0
22,33000,100,660,0,1741,8500,182000,33000,0.204824,Active,0,TX,"41,275",0
32,144900,97,687,0,938,3500,135271,135271,0.268,Active,0,WA,"48,688",1
49,89000,100,668,0,952,3915,101000,89000,0.243167,Active,0,TX,"41,275",0
36,109900,100,675,0,185,1892,112287,109900,0.09778,Active,0,PA,"44,286",0
24,121000,100,814,0,1445,4011,275000,121000,0.360259,Active,0,CO,"51,022",0
31,67000,100,708,0,1233,4485,155000,67000,0.274916,Active,0,WI,"47,220",0
38,91500,99,687,0,1419,7438,186000,91500,0.190777,Active,0,OH,"44,160",0
39,136292,100,687,0,1506,4153,330000,136292,0.362629,Active,0,CO,"51,022",0
47,88000,100,694,0,1370,5500,221000,88000,0.249091,Active,0,MN,"55,914",0
32,225907,100,662,0,1052,3500,186000,186000,0.300571,Active,0,CO,"51,022",1
47,186210,90,749,0,0,5082,150000,150000,0,Active,0,TX,"41,275",1
26,136000,100,684,0,1195,8000,144000,136000,0.149375,Active,0,AZ,"42,590",0
44,90000,100,668,0,771,7300,105000,90000,0.105616,Active,0,TX,"41,275",0
22,64750,100,625,0,1549,8175,225000,64750,0.18948,Active,0,MO,"43,988",0
45,96000,85,652,0,462,3721,54460,54460,0.12416,Active,0,TN,"38,550",1
36,269000,100,696,0,1711,4170,200000,200000,0.410312,Active,0,NY,"44,228",1
28,216550,98,667,0,644,2029,95000,95000,0.317398,Active,0,AZ,"42,590",1
36,165000,100,805,0,748,3673,183948,165000,0.203648,Active,0,VA,"53,275",0
29,200000,100,696,0,2509,5025,375000,200000,0.499335,Active,0,NY,"44,228",0
40,317000,100,694,0,1472,3400,258000,258000,0.432941,Active,0,CA,"49,894",1
37,111750,100,683,0,1392,6200,203000,111750,0.224516,Active,0,MN,"55,914",0
44,230000,100,704,0,0,7000,148000,148000,0,Active,0,NC,"39,000",1
59,233600,100,674,0,863,3700,110000,110000,0.233243,Active,0,TN,"38,550",1
22,175000,100,648,0,2343,8127,412000,175000,0.288298,Active,0,NJ,"56,772",0
23,152000,100,689,0,877,5250,132000,132000,0.167048,Active,0,TX,"41,275",1
33,127000,100,678,0,1196,6198,160000,127000,0.192965,Active,0,KS,"43,725",0
42,208250,97,679,0,1117,3542,196069,196069,0.315359,Active,0,DC,"43,003",1
35,140500,99,755,0,1098,5500,144000,140500,0.199636,Active,0,NV,"46,984",0
64,116600,99,685,0,0,7000,119000,116600,0,Active,0,TX,"41,275",0
26,180399,100,710,0,649,4897,110000,110000,0.13253,Active,0,CO,"51,022",1
33,85000,100,673,0,717,3500,102000,85000,0.204857,Active,0,NM,"37,587",0
31,203050,100,667,0,678,3012,107000,107000,0.2251,Active,0,NC,"39,000",1
30,290000,100,727,0,0,2027,165000,165000,0,Active,0,NY,"44,228",1
23,139950,100,774,0,998,7083,162000,139950,0.140901,Active,0,TX,"41,275",0
45,118650,100,681,0,1194,7705,139000,118650,0.154964,Active,0,AZ,"42,590",0
55,103000,100,718,0,1131,4900,290000,103000,0.230816,Active,0,CA,"49,894",0
22,69350,95,745,0,713,6000,110000,69350,0.118833,Active,0,MO,"43,988",0
35,207000,95,698,0,1189,5025,134000,134000,0.236632,Active,0,PA,"44,286",1
59,135000,100,630,0,1287,6268,169500,135000,0.205329,Active,0,MD,"56,763",0
30,163400,100,692,0,0,4800,147000,147000,0,Active,0,UT,"50,614",1
37,272870,100,669,0,1874,5025,375000,272870,0.372959,Active,0,NY,"44,228",0
29,322000,100,767,0,422,4117,70000,70000,0.102502,Active,0,VA,"53,275",1
37,95410,102,731,0,0,3867,137000,95410,0,Active,0,AZ,"42,590",0
33,101500,100,720,0,1450,7336,190000,101500,0.197655,Active,0,VA,"53,275",0
37,155000,100,672,0,825,3852,109000,109000,0.214174,Active,0,PA,"44,286",1
21,161000,100,674,0,995,4784,145000,145000,0.207985,Active,0,CA,"49,894",1
31,137400,100,660,0,1225,3700,190000,137400,0.331081,Active,0,CA,"49,894",0
40,134500,100,735,0,1409,3551,240000,134500,0.39679,Active,0,UT,"50,614",0
30,150000,100,673,0,0,4314,135000,135000,0,Active,0,AZ,"42,590",1
33,272141,102,748,0,0,2762,110000,110000,0,Active,0,OR,"42,617",1
39,217500,100,733,0,689,4400,109000,109000,0.156591,Active,0,NC,"39,000",1
31,316700,99,718,0,1337,5025,190000,190000,0.266086,Active,0,TX,"41,275",1
39,95700,97,720,0,1311,7200,160000,95700,0.182083,Active,0,CA,"49,894",0
64,80000,100,678,0,1526,8500,235000,80000,0.179529,Active,0,CA,"49,894",0
23,88200,97,703,0,899,7164,116931,88200,0.125489,Active,0,WI,"47,220",0
29,159000,100,684,0,1432,5000,247000,159000,0.2864,Active,0,MN,"55,914",0
41,140000,100,665,0,861,2795,200000,140000,0.30805,Active,0,AZ,"42,590",0
30,120000,100,664,0,1656,5400,315000,120000,0.306667,Active,0,NY,"44,228",0
41,81900,100,728,0,933,3514,132000,81900,0.265509,Active,0,WY,"43,641",0
33,116725,102,737,0,1568,4500,262000,116725,0.348444,Active,0,CO,"51,022",0
37,172000,80,780,0,1089,3300,237000,172000,0.33,Active,0,MA,"52,354",0
36,217210,102,706,0,698,3600,95000,95000,0.193889,Active,0,IA,"43,042",1
34,106575,102,704,0,1759,5150,445000,106575,0.341553,Active,0,NY,"44,228",0
37,56050,84,744,0,962,4934,139000,56050,0.194974,Active,0,MD,"56,763",0
33,208075,102,640,0,950,2733,180000,180000,0.347603,Active,0,CA,"49,894",1
