OUTCOME;P_0;P_1;score
0;0.9044186335;0.0955813665;9.4622902624
0;0.9044186335;0.0955813665;9.4622902624
0;0.9044186335;0.0955813665;9.4622902624
0;0.9044186335;0.0955813665;9.4622902624
0;0.9044186335;0.0955813665;9.4622902624
0;0.9044186335;0.0955813665;9.4622902624
0;0.9044186335;0.0955813665;9.4622902624
0;0.9044186335;0.0955813665;9.4622902624
0;0.9044186335;0.0955813665;9.4622902624
0;0.9044186335;0.0955813665;9.4622902624
0;0.9044186335;0.0955813665;9.4622902624
0;0.9044186335;0.0955813665;9.4622902624
0;0.9044186335;0.0955813665;9.4622902624
0;0.9044186335;0.0955813665;9.4622902624
0;0.9044186335;0.0955813665;9.4622902624
0;0.9044186335;0.0955813665;9.4622902624
0;0.9044186335;0.0955813665;9.4622902624
0;0.9044186335;0.0955813665;9.4622902624
0;0.9044186335;0.0955813665;9.4622902624
0;0.9044186335;0.0955813665;9.4622902624
0;0.9044186335;0.0955813665;9.4622902624
0;0.9044186335;0.0955813665;9.4622902624
0;0.9044186335;0.0955813665;9.4622902624
0;0.9044186335;0.0955813665;9.4622902624
0;0.9044186335;0.0955813665;9.4622902624
0;0.9044186335;0.0955813665;9.4622902624
0;0.9044186335;0.0955813665;9.4622902624
0;0.9044186335;0.0955813665;9.4622902624
0;0.9044186335;0.0955813665;9.4622902624
0;0.9044186335;0.0955813665;9.4622902624
0;0.9044186335;0.0955813665;9.4622902624
0;0.9044186335;0.0955813665;9.4622902624
0;0.9044186335;0.0955813665;9.4622902624
0;0.9044186335;0.0955813665;9.4622902624
0;0.9044186335;0.0955813665;9.4622902624
0;0.9044186335;0.0955813665;9.4622902624
0;0.9044186335;0.0955813665;9.4622902624
0;0.9044186335;0.0955813665;9.4622902624
0;0.9044186335;0.0955813665;9.4622902624
0;0.9044186335;0.0955813665;9.4622902624
0;0.9044186335;0.0955813665;9.4622902624
0;0.9044186335;0.0955813665;9.4622902624
0;0.9044186335;0.0955813665;9.4622902624
0;0.9044186335;0.0955813665;9.4622902624
0;0.9044186335;0.0955813665;9.4622902624
0;0.9044186335;0.0955813665;9.4622902624
0;0.9044186335;0.0955813665;9.4622902624
0;0.9044186335;0.0955813665;9.4622902624
1;0.9044186335;0.0955813665;9.4622902624
1;0.9044186335;0.0955813665;9.4622902624
1;0.9044186335;0.0955813665;9.4622902624
1;0.9044186335;0.0955813665;9.4622902624
0;0.9044186335;0.0955813665;9.4622902624
0;0.9044186335;0.0955813665;9.4622902624
0;0.9044186335;0.0955813665;9.4622902624
0;0.9044186335;0.0955813665;9.4622902624
0;0.9044186335;0.0955813665;9.4622902624
0;0.9044186335;0.0955813665;9.4622902624
0;0.9044186335;0.0955813665;9.4622902624
0;0.9044186335;0.0955813665;9.4622902624
0;0.9044186335;0.0955813665;9.4622902624
0;0.9044186335;0.0955813665;9.4622902624
0;0.9044186335;0.0955813665;9.4622902624
0;0.9044186335;0.0955813665;9.4622902624
0;0.9044186335;0.0955813665;9.4622902624
0;0.9044186335;0.0955813665;9.4622902624
0;0.9044186335;0.0955813665;9.4622902624
0;0.9044186335;0.0955813665;9.4622902624
0;0.9044186335;0.0955813665;9.4622902624
0;0.9044186335;0.0955813665;9.4622902624
0;0.9044186335;0.0955813665;9.4622902624
0;0.9154406066;0.0845593934;10.826007257
0;0.9154406066;0.0845593934;10.826007257
0;0.9154406066;0.0845593934;10.826007257
0;0.9154406066;0.0845593934;10.826007257
0;0.9154406066;0.0845593934;10.826007257
0;0.9154406066;0.0845593934;10.826007257
0;0.9154406066;0.0845593934;10.826007257
0;0.9154406066;0.0845593934;10.826007257
0;0.9154406066;0.0845593934;10.826007257
0;0.9154406066;0.0845593934;10.826007257
0;0.9154406066;0.0845593934;10.826007257
0;0.9154406066;0.0845593934;10.826007257
0;0.9154406066;0.0845593934;10.826007257
0;0.9154406066;0.0845593934;10.826007257
0;0.9154406066;0.0845593934;10.826007257
0;0.9154406066;0.0845593934;10.826007257
0;0.9154406066;0.0845593934;10.826007257
0;0.9154406066;0.0845593934;10.826007257
0;0.9154406066;0.0845593934;10.826007257
0;0.9154406066;0.0845593934;10.826007257
0;0.9154406066;0.0845593934;10.826007257
0;0.9154406066;0.0845593934;10.826007257
0;0.9154406066;0.0845593934;10.826007257
0;0.9154406066;0.0845593934;10.826007257
0;0.9154406066;0.0845593934;10.826007257
0;0.9154406066;0.0845593934;10.826007257
0;0.9154406066;0.0845593934;10.826007257
0;0.9154406066;0.0845593934;10.826007257
0;0.9154406066;0.0845593934;10.826007257
0;0.9154406066;0.0845593934;10.826007257
0;0.9154406066;0.0845593934;10.826007257
0;0.9154406066;0.0845593934;10.826007257
0;0.9154406066;0.0845593934;10.826007257
0;0.9154406066;0.0845593934;10.826007257
0;0.9154406066;0.0845593934;10.826007257
0;0.9154406066;0.0845593934;10.826007257
0;0.9154406066;0.0845593934;10.826007257
0;0.9154406066;0.0845593934;10.826007257
0;0.9154406066;0.0845593934;10.826007257
0;0.9154406066;0.0845593934;10.826007257
0;0.9154406066;0.0845593934;10.826007257
0;0.9154406066;0.0845593934;10.826007257
0;0.9154406066;0.0845593934;10.826007257
0;0.9154406066;0.0845593934;10.826007257
0;0.9154406066;0.0845593934;10.826007257
0;0.9154406066;0.0845593934;10.826007257
0;0.9154406066;0.0845593934;10.826007257
0;0.9154406066;0.0845593934;10.826007257
0;0.9154406066;0.0845593934;10.826007257
0;0.9154406066;0.0845593934;10.826007257
0;0.9154406066;0.0845593934;10.826007257
0;0.9154406066;0.0845593934;10.826007257
0;0.9154406066;0.0845593934;10.826007257
0;0.9154406066;0.0845593934;10.826007257
0;0.9154406066;0.0845593934;10.826007257
0;0.9154406066;0.0845593934;10.826007257
0;0.9154406066;0.0845593934;10.826007257
0;0.9154406066;0.0845593934;10.826007257
1;0.9154406066;0.0845593934;10.826007257
1;0.9154406066;0.0845593934;10.826007257
1;0.9154406066;0.0845593934;10.826007257
1;0.9154406066;0.0845593934;10.826007257
1;0.9154406066;0.0845593934;10.826007257
0;0.9154406066;0.0845593934;10.826007257
0;0.9154406066;0.0845593934;10.826007257
0;0.9154406066;0.0845593934;10.826007257
0;0.9154406066;0.0845593934;10.826007257
0;0.9154406066;0.0845593934;10.826007257
0;0.9154406066;0.0845593934;10.826007257
0;0.9154406066;0.0845593934;10.826007257
0;0.9154406066;0.0845593934;10.826007257
0;0.9154406066;0.0845593934;10.826007257
0;0.9154406066;0.0845593934;10.826007257
0;0.9154406066;0.0845593934;10.826007257
0;0.9154406066;0.0845593934;10.826007257
0;0.9154406066;0.0845593934;10.826007257
0;0.9154406066;0.0845593934;10.826007257
0;0.9154406066;0.0845593934;10.826007257
0;0.9154406066;0.0845593934;10.826007257
0;0.9154406066;0.0845593934;10.826007257
0;0.9154406066;0.0845593934;10.826007257
0;0.9154406066;0.0845593934;10.826007257
0;0.9154406066;0.0845593934;10.826007257
0;0.9154406066;0.0845593934;10.826007257
0;0.9154406066;0.0845593934;10.826007257
0;0.9154406066;0.0845593934;10.826007257
0;0.9154406066;0.0845593934;10.826007257
0;0.9154406066;0.0845593934;10.826007257
0;0.9154406066;0.0845593934;10.826007257
0;0.9154406066;0.0845593934;10.826007257
0;0.9154406066;0.0845593934;10.826007257
0;0.9154406066;0.0845593934;10.826007257
0;0.9199257618;0.0800742382;11.4884110355
0;0.9199257618;0.0800742382;11.4884110355
0;0.9199257618;0.0800742382;11.4884110355
0;0.9199257618;0.0800742382;11.4884110355
0;0.9199257618;0.0800742382;11.4884110355
0;0.9199257618;0.0800742382;11.4884110355
0;0.9199257618;0.0800742382;11.4884110355
0;0.9199257618;0.0800742382;11.4884110355
0;0.9199257618;0.0800742382;11.4884110355
0;0.9199257618;0.0800742382;11.4884110355
0;0.9199257618;0.0800742382;11.4884110355
0;0.9199257618;0.0800742382;11.4884110355
0;0.9199257618;0.0800742382;11.4884110355
0;0.9199257618;0.0800742382;11.4884110355
0;0.9199257618;0.0800742382;11.4884110355
0;0.9199257618;0.0800742382;11.4884110355
0;0.9199257618;0.0800742382;11.4884110355
0;0.9199257618;0.0800742382;11.4884110355
0;0.9199257618;0.0800742382;11.4884110355
0;0.9199257618;0.0800742382;11.4884110355
0;0.9199257618;0.0800742382;11.4884110355
0;0.9199257618;0.0800742382;11.4884110355
0;0.9199257618;0.0800742382;11.4884110355
0;0.9199257618;0.0800742382;11.4884110355
0;0.9199257618;0.0800742382;11.4884110355
0;0.9199257618;0.0800742382;11.4884110355
0;0.9199257618;0.0800742382;11.4884110355
0;0.9199257618;0.0800742382;11.4884110355
0;0.9199257618;0.0800742382;11.4884110355
0;0.9199257618;0.0800742382;11.4884110355
0;0.9199257618;0.0800742382;11.4884110355
0;0.9199257618;0.0800742382;11.4884110355
0;0.9199257618;0.0800742382;11.4884110355
0;0.9199257618;0.0800742382;11.4884110355
0;0.9199257618;0.0800742382;11.4884110355
0;0.9199257618;0.0800742382;11.4884110355
0;0.9199257618;0.0800742382;11.4884110355
0;0.9199257618;0.0800742382;11.4884110355
0;0.9199257618;0.0800742382;11.4884110355
0;0.9199257618;0.0800742382;11.4884110355
0;0.9199257618;0.0800742382;11.4884110355
0;0.9199257618;0.0800742382;11.4884110355
0;0.9199257618;0.0800742382;11.4884110355
0;0.9199257618;0.0800742382;11.4884110355
0;0.9199257618;0.0800742382;11.4884110355
0;0.9199257618;0.0800742382;11.4884110355
1;0.9199257618;0.0800742382;11.4884110355
1;0.9199257618;0.0800742382;11.4884110355
0;0.9199257618;0.0800742382;11.4884110355
0;0.9199257618;0.0800742382;11.4884110355
0;0.9199257618;0.0800742382;11.4884110355
0;0.9199257618;0.0800742382;11.4884110355
0;0.9199257618;0.0800742382;11.4884110355
0;0.9199257618;0.0800742382;11.4884110355
0;0.9199257618;0.0800742382;11.4884110355
0;0.9199257618;0.0800742382;11.4884110355
0;0.9199257618;0.0800742382;11.4884110355
0;0.9199257618;0.0800742382;11.4884110355
0;0.9199257618;0.0800742382;11.4884110355
0;0.9199257618;0.0800742382;11.4884110355
0;0.9199257618;0.0800742382;11.4884110355
0;0.9199257618;0.0800742382;11.4884110355
0;0.9199257618;0.0800742382;11.4884110355
0;0.9199257618;0.0800742382;11.4884110355
0;0.9199257618;0.0800742382;11.4884110355
0;0.9199257618;0.0800742382;11.4884110355
0;0.9199257618;0.0800742382;11.4884110355
0;0.9199257618;0.0800742382;11.4884110355
0;0.9199257618;0.0800742382;11.4884110355
0;0.9199257618;0.0800742382;11.4884110355
0;0.9199257618;0.0800742382;11.4884110355
0;0.9199257618;0.0800742382;11.4884110355
0;0.9199257618;0.0800742382;11.4884110355
0;0.9199257618;0.0800742382;11.4884110355
0;0.9199257618;0.0800742382;11.4884110355
0;0.9252965625;0.0747034375;12.3862648556
0;0.9252965625;0.0747034375;12.3862648556
